item,brand,store_type,season,purchase_method,qty_bought,days_used,daily_use,last_purchase_days_ago,household_size,price,discount_percent,shelf_life_days,rating,stock_status
sugar,BrandC,wholesale,winter,offline,7.0,20.0,0.20446463395594955,11.0,1.0,488.25161936980265,9.39393012094365,713.4865149644382,1.5371811406506812,full
cereal,BrandB,wholesale,winter,offline,4.0,2.0,3.792219451022402,3.0,3.0,141.2533133975907,0.3278920989850409,92.0,,empty
milk,BrandB,local_shop,winter,,3.0,41.0,1.184975182570519,30.0,26.07669447228317,228.66879612598322,3.971373314928237,191.0,1.3929325261595333,empty
rice,,wholesale,none,subscription,9.0,54.0,0.12476197523212725,8.0,7.0,289.92511200445455,1.3833166480341408,83.0,2.0860622520609753,okay
cereal,BrandC,local_shop,monsoon,online,4.0,57.0,1.0072915494061878,37.0,7.0,207.74523389432528,11.945900344300068,72.0,4.526197599506981,empty
flour,BrandA,online,winter,offline,9.0,18.0,1.3904934941018603,21.0,4.0,77.89797688154846,13.03779123737888,27.0,4.554598459581774,empty
bread,BrandB,local_shop,winter,subscription,9.0,5.0,0.9455748349222924,8.0,1.0,447.41201079677535,34.63965243510164,180.0,3.6943580569953904,low
cereal,BrandA,supermarket,monsoon,offline,3.0,54.0,1.0833533567320457,11.0,1.0,404.5819177813337,4.997176309732949,93.0,4.502739837611529,empty
coffee,BrandC,local_shop,none,online,3.0,32.0,1.198786965157693,34.0,5.0,143.11788843858102,7.40364056147532,19.0,1.763766409509608,empty
rice,BrandB,local_shop,winter,subscription,8.0,46.0,0.37225716716991963,39.0,3.0,234.78875204933922,24.801075011055467,49.0,1.5919715244262638,low
pasta,PremiumSelect,supermarket,summer,online,1.0,11.0,0.8923976811182166,16.0,7.0,372.92399619177223,18.766050381745607,145.0,4.062013646618956,empty
pasta,LocalBrand,supermarket,none,subscription,,21.0,0.49813223824377423,7.0,5.0,487.3138791633155,39.73033953605192,6.0,4.958596123606625,empty
flour,PremiumSelect,supermarket,winter,offline,6.0,22.0,,4.0,3.0,100.40571559455773,30.478458259911086,189.0,3.870579615241649,empty
cereal,PremiumSelect,supermarket,summer,subscription,9.0,3.0,0.3290618018740539,32.0,21.730578726902642,326.23345877621705,10.813604385557865,116.0,1.1481070213163402,empty
cereal,LocalBrand,local_shop,winter,online,2.0,9.0,0.8988743921889306,,3.0,412.4246191234874,28.861474899247824,106.0,1.7355000199264845,empty
salt,LocalBrand,wholesale,none,online,8.0,2.0,1.2020712935030173,22.0,2.0,32.433700715964235,9.133528922224086,13.0,1.9900200544336832,low
cereal,LocalBrand,supermarket,monsoon,online,7.0,46.0,1.320039143073246,7.0,1.0,409.2735893791103,27.263285470213184,155.0,2.6910263895574733,low
eggs,BrandB,,monsoon,online,2.0,28.0,,13.0,6.0,2028.9985288847538,1.460938410581587,145.0,1.8837757017126364,empty
oil,BrandA,local_shop,none,offline,1.0,34.0,0.5907035502870114,18.0,1.0,463.27153691463957,7.983888679774611,169.0,1.2425153408783367,empty
coffee,BrandA,wholesale,winter,online,4.0,53.0,1.0465950080458568,34.0,1.0,60.523291644523844,4.1052469811844094,73.0,2.033311197873673,low
salt,LocalBrand,online,none,offline,2.0,59.0,1.1815209006859084,13.0,3.0,79.65786736217959,17.157895089739156,21.0,2.403899609340894,empty
milk,PremiumSelect,local_shop,summer,subscription,3.0,10.0,0.417313038174975,34.0,1.0,268.9680687124615,22.135468572830845,26.0,2.134442159349514,low
salt,BrandC,local_shop,winter,online,2.0,19.0,0.48107178210600315,29.0,2.0,438.38008126353543,10.377215812745648,164.0,1.1112179492659808,empty
eggs,LocalBrand,online,none,subscription,9.0,29.0,0.8234203127688781,42.93147657520972,8.692231490761056,439.7650736520655,39.140357351909635,132.0,4.71045174973778,empty
milk,PremiumSelect,supermarket,monsoon,subscription,4.0,2.0,0.6943592473679184,31.0,,356.0306026382062,16.423282947578542,118.0,3.1655608808695153,empty
coffee,PremiumSelect,supermarket,none,offline,,48.0,9.177534482043022,11.0,4.0,235.39617091007912,22.470868655594018,191.0,4.394198465016139,empty
eggs,BrandB,online,winter,online,8.0,6.0,0.7815032369322316,38.0,1.0,130.94438960830124,18.541034813282103,26.0,1.0617271854252706,okay
,BrandB,wholesale,none,offline,4.0,44.0,0.21181870329774488,4.0,5.0,247.84657062729065,34.52689489189947,147.0,,low
oil,BrandA,supermarket,monsoon,online,8.0,54.0,0.2906321324427516,7.0,7.0,124.19085032702333,14.828573079404928,130.0,3.817776662808803,low
coffee,BrandA,local_shop,summer,subscription,8.0,7.0,1.3577678235399275,23.0,5.0,391.0494522397902,37.72362049594939,105.0,4.90839276181114,empty
cereal,BrandC,local_shop,none,offline,9.0,36.0,3.246682216399649,31.0,5.0,222.3234067530953,32.19861638813334,20.0,1.4586759473247963,empty
sugar,BrandC,wholesale,none,online,7.0,8.0,0.12262483255595531,17.0,6.0,278.8938101516845,3.0261769220561874,37.0,3.5706063981213645,low
flour,BrandC,local_shop,summer,subscription,4.0,19.0,1.1106091095164767,10.0,2.0,346.8480505284129,35.33144907640831,39.0,1.0847354498585977,empty
coffee,BrandC,supermarket,none,offline,2.0,10.0,1.0418161585747292,22.0,4.0,272.68446709774594,7.262918595156345,161.0,2.4279581086969806,empty
flour,PremiumSelect,wholesale,monsoon,offline,6.0,33.0,0.9201102270494889,30.0,6.0,382.5477524401599,2.3819965378579466,123.0,18.939967153673,empty
milk,PremiumSelect,supermarket,summer,offline,4.0,37.0,0.7782714239739028,29.0,4.0,397.3099431507243,8.866025645568264,79.0,4.72834742718813,empty
sugar,BrandA,wholesale,monsoon,offline,6.0,,1.4558915133678882,17.0,8.692231490761056,136.51252076672108,3.4081000538350903,107.0,1.3316316094710925,empty
oil,,online,monsoon,subscription,8.0,27.0,0.22375682908175737,21.0,4.0,163.10724048949376,24.887968537317356,85.0,2.9570011008128376,low
cereal,BrandB,local_shop,monsoon,,3.0,29.0,0.7897360347383177,22.0,5.0,48.47417307034906,17.899755583009537,151.0,1.9535344108767805,empty
cereal,LocalBrand,wholesale,winter,subscription,1.0,19.0,0.8678651680315633,39.0,5.0,62.8136380106962,18.993327918070662,134.0,1.8649601803951663,empty
eggs,PremiumSelect,online,summer,subscription,5.0,67.92703669243708,0.08261473165221703,22.0,2.0,418.14852744370194,24.663771369911352,29.0,3.7532250046828297,full
cereal,BrandC,supermarket,winter,online,3.0,51.0,0.6473890159662908,27.0,5.0,122.71984515879772,19.93536456960389,91.0,1.109080435218519,empty
tea,BrandC,online,winter,subscription,6.0,51.0,1.1850630818135297,23.0,3.0,420.6384932634193,39.6640527204248,26.0,3.527058505180418,empty
salt,LocalBrand,supermarket,none,offline,3.0,23.0,0.733093195102252,4.0,7.0,493.22155051473754,24.949076608716613,185.0,1.6495139457598897,empty
rice,BrandB,wholesale,summer,offline,1.0,1.0,1.3191537521968295,26.0,5.0,136.5496285396979,,9.0,1.0589822326079967,empty
oil,BrandC,wholesale,none,offline,9.0,,0.9849584512397159,39.0,1.0,240.9791867784922,16.576248331122187,87.0,3.174864085100878,low
sugar,BrandB,local_shop,winter,offline,5.0,52.0,1.1608237778723176,17.0,2.0,277.78947737522935,17.85560497069309,194.0,1.449571046370132,empty
tea,LocalBrand,local_shop,none,online,2.0,43.0,1.216496196028922,3.0,,472.5528735053977,39.57980308915865,121.0,,empty
oil,BrandB,wholesale,monsoon,offline,2.0,3.0,1.0497753471881932,17.0,4.0,105.7424774291542,0.21963079605385794,146.0,2.1219263817022154,empty
sugar,BrandB,supermarket,winter,offline,9.0,10.0,1.136601957038209,19.0,4.0,421.2705451888649,6.2181939216514825,96.0,2.115274798198707,empty
bread,BrandB,supermarket,monsoon,offline,1.0,59.0,1.0582002827408092,39.0,7.0,479.7354948086105,13.721507438063965,12.0,4.221484856799568,empty
bread,BrandC,wholesale,summer,subscription,3.0,7.0,0.8481724352577537,18.0,4.0,286.11995457202835,36.17650838049316,39.0,3.847233975352664,empty
flour,BrandA,supermarket,none,subscription,7.0,49.0,0.8714728001133778,,1.0,93.14868859720019,37.51719014190736,398.8782878935049,4.310920407686465,low
oil,PremiumSelect,wholesale,winter,online,1.0,56.0,0.3253329348233619,15.0,5.0,180.2261830849415,2.304153199719159,148.0,2.6999925037331116,empty
bread,BrandB,local_shop,summer,online,2.0,26.0,1.2497868883996326,26.0,,480.3646843237074,5.664950197135639,65.0,1.4493951086941514,empty
sugar,BrandB,supermarket,monsoon,online,6.0,16.0,0.5025991049692533,35.0,5.0,100.74713061934291,35.28912596715682,74.0,4.054054233581858,empty
flour,BrandB,local_shop,none,offline,9.0,39.0,0.8268184795747302,16.0,4.0,254.063721940256,10.891401548090634,41.0,4.468668584524,empty
cereal,BrandA,online,none,online,9.0,45.0,0.41184105901664814,15.0,2.0,111.1325835277181,16.043962681826557,93.0,3.3516327557121746,okay
sugar,LocalBrand,local_shop,winter,subscription,8.0,120.75917634211036,1.05900421970403,5.0,4.0,453.980127950867,0.18365753299121934,193.0,1.881668486711214,empty
flour,BrandC,online,none,subscription,3.0,12.0,1.4639949806667067,24.0,6.0,303.40924682751864,19.658318982979893,115.0,4.0671728447748645,empty
oil,BrandA,local_shop,none,subscription,2.0,44.0,1.2128133402387407,,1.0,463.2066868174571,34.61210864778393,69.0,1.1769186146805302,empty
tea,BrandB,local_shop,monsoon,offline,1.0,8.0,0.947688448736972,36.0,2.0,474.1616675863466,14.583782291623173,187.0,2.3754280347405494,empty
eggs,BrandA,supermarket,monsoon,offline,9.0,8.0,0.8728844739260464,31.0,4.0,254.70493843783768,35.23675500653628,163.0,2.5632431698928855,empty
cereal,BrandA,local_shop,monsoon,online,5.0,45.0,6.49946116050857,30.0,4.0,469.8092368523888,13.876980517011134,144.0,2.3261925253619564,empty
coffee,BrandA,wholesale,summer,online,3.0,11.0,0.3472085760572203,,7.0,20.339938928148893,26.326694959020614,67.0,4.779349609962532,empty
tea,LocalBrand,supermarket,summer,online,5.0,57.0,0.554614575174156,37.0,6.0,112.21089521740498,11.745317511998685,154.0,4.328974823572313,empty
milk,PremiumSelect,supermarket,none,online,3.0,33.0,0.6392714075483859,21.0,4.0,372.3192360671952,20.589419013252996,120.0,3.121606066114858,empty
sugar,BrandC,supermarket,summer,offline,9.0,25.0,1.419625158519465,12.0,30.422810217663695,272.71434282921507,33.13247567459697,136.0,4.740583334717396,empty
,LocalBrand,local_shop,winter,subscription,1.0,17.0,0.667095138352218,37.0,1.0,495.656940646539,33.936259975392524,97.0,1.6242506533080725,empty
tea,LocalBrand,supermarket,monsoon,offline,1.0,31.0,0.8999760144540927,35.0,5.0,396.4558229952703,3.061096401866674,100.0,1.385615152434565,empty
flour,PremiumSelect,online,summer,online,3.0,19.0,1.3875155838870503,22.0,5.0,338.7800903454087,37.17191578231056,26.0,2.538731334310785,empty
coffee,LocalBrand,online,none,offline,6.0,45.0,0.8017182913264475,36.0,5.0,457.84096245580633,20.872947757159444,111.0,4.963658090320421,empty
cereal,BrandA,local_shop,monsoon,subscription,2.0,55.0,0.41460218080284983,8.0,1.0,181.85648320412938,8.768378804398115,110.0,4.6147984170399745,low
cereal,BrandA,supermarket,summer,,1.0,15.0,0.6024588545672125,27.0,6.0,100.43785434732541,33.25288897249515,63.0,1.8876449680000018,empty
cereal,BrandB,wholesale,monsoon,subscription,8.0,56.0,0.5945318406565352,27.0,5.0,282.5983328061601,25.408841693395946,103.0,4.720048393623677,empty
coffee,LocalBrand,wholesale,summer,online,9.0,44.0,1.0863404688181242,,5.0,134.46753840115983,20.32006279655444,49.0,3.52443790183778,empty
rice,BrandB,online,none,offline,1.0,53.0,0.47937505916703743,7.0,1.0,131.5451706614573,32.46812781004138,63.0,2.236642082316663,empty
coffee,BrandC,local_shop,summer,online,3.0,49.0,1.1089184377525716,3.0,7.0,849.0286296057936,8.154116327556725,142.0,22.821106561225502,empty
,BrandA,local_shop,summer,online,5.0,35.0,1.3394019322357522,4.0,2.0,344.0665924414858,23.24645205401111,152.0,4.426845197304408,empty
coffee,BrandC,local_shop,summer,subscription,7.0,39.0,0.5373058669848821,24.0,4.0,31.323260275778875,38.4723880947146,39.0,1.0020206870711053,low
tea,PremiumSelect,local_shop,monsoon,subscription,4.0,2.0,2.1053984160338417,8.0,4.0,427.9944572169402,25.48370816250454,183.0,8.225952440867855,empty
rice,BrandA,local_shop,summer,online,6.0,34.0,0.975903808904532,13.0,1.0,313.7824435345328,23.952265435339317,143.0,3.9976407110040064,low
cereal,BrandC,supermarket,summer,subscription,1.0,25.0,0.5732389779097916,9.0,5.0,166.1380775160361,1.1782500642431826,79.0,3.448447647085171,empty
tea,PremiumSelect,supermarket,summer,subscription,,38.0,,20.0,6.0,74.29017797144441,7.305978603667014,188.0,2.0453498744566136,empty
tea,BrandC,supermarket,monsoon,online,8.0,4.0,0.9695401661674355,20.0,3.0,399.21179028339765,24.485779942674654,82.0,2.0985707780341625,empty
pasta,PremiumSelect,wholesale,none,online,5.0,16.0,0.6412272688883217,5.0,5.0,229.4881263711382,28.106556817814884,21.0,1.444242083537317,empty
salt,PremiumSelect,supermarket,,subscription,8.0,32.0,1.3908069550956084,5.0,3.0,228.94685406726308,35.993111343995416,193.0,2.709292838418272,empty
rice,BrandA,local_shop,none,online,1.0,15.0,0.6294412485471846,35.0,4.0,245.7107125527926,34.853405079917756,184.0,1.245484699494757,empty
tea,BrandB,local_shop,summer,online,9.0,42.0,0.4956927744980419,1.0,6.0,218.69576258707437,,85.0,3.734774918650916,low
salt,PremiumSelect,wholesale,monsoon,subscription,4.0,14.0,1.3342290705933868,,1.0,266.3815859010406,27.594594578181308,188.0,1.9814657557719886,empty
salt,PremiumSelect,wholesale,none,offline,9.0,41.0,0.2476374989674241,17.0,6.0,322.7131238307494,18.556711408831276,194.0,4.524647831072923,low
rice,BrandA,online,none,offline,8.0,15.0,0.23010294673910564,12.0,5.0,226.88599128166493,155.5018976012265,55.0,1.3797666587924815,low
pasta,BrandB,wholesale,none,online,8.0,7.0,1.4067624010281574,36.0,1.0,486.9453841307429,37.81385494124332,44.0,3.7681526141629216,low
milk,LocalBrand,online,winter,subscription,2.0,7.0,0.353004200458701,15.0,5.0,210.84646548895813,238.87066801294134,33.0,4.482414417403012,empty
flour,LocalBrand,supermarket,monsoon,online,3.0,8.0,0.26523423525572876,14.0,5.0,122.93100395036282,38.72605696866464,181.0,3.81627070815506,empty
eggs,BrandB,local_shop,winter,subscription,9.0,19.0,0.8259940408283454,27.0,6.0,490.450787572375,30.99501405087715,31.0,4.704787330169085,empty
flour,BrandC,online,summer,online,3.0,18.0,0.11784327600493141,22.0,5.0,162.1328500547272,29.025177492126645,127.0,2.3142109142349474,low
coffee,BrandA,online,none,online,8.0,17.0,0.9490217510549622,9.0,3.0,317.9881812286369,17.103356341505123,180.0,1.540809249650375,empty
cereal,BrandB,online,summer,subscription,5.0,18.0,0.7067496575916439,21.0,1.0,417.72791271717597,4.258918601552617,186.0,2.3983340309274785,low
eggs,LocalBrand,wholesale,monsoon,online,7.0,19.0,0.9785973484013636,3.0,4.0,21.898279212966738,25.214493933449656,988.768713651505,3.3846052203332797,empty
coffee,PremiumSelect,wholesale,summer,offline,,53.0,0.46170851012248815,31.0,8.692231490761056,155.75998703665752,18.73404944005982,185.0,4.7830747343282525,empty
tea,LocalBrand,wholesale,summer,offline,8.0,40.0,1.3629347108059653,13.0,3.0,275.2728620638677,23.62251502108442,191.0,2.1821014752275327,empty
cereal,PremiumSelect,online,none,subscription,4.0,13.0,0.4423420334517512,2.0,4.0,238.82332642344008,11.29393262418878,17.0,,empty
,BrandA,supermarket,monsoon,online,5.0,59.0,0.9744687940371479,14.0,1.0,54.942737618847524,7.840563761479711,20.0,1.4023874274232484,low
rice,PremiumSelect,local_shop,summer,offline,1.0,11.0,1.4203831834100558,7.0,2.0,234.58705643008994,10.605716493645794,48.0,2.0725282990794307,empty
,BrandB,wholesale,,subscription,8.0,51.0,0.6311734680948597,29.0,2.0,70.85585436002802,26.30260425864098,192.0,1.6391065657152435,low
eggs,PremiumSelect,supermarket,none,subscription,7.0,7.0,0.2840684660246252,4.0,1.0,139.93746340437173,38.11932867402056,11.0,2.9145112276575174,full
tea,BrandC,wholesale,winter,subscription,5.0,27.0,0.14915459007215898,4.0,3.0,379.41827606159427,39.67710011280467,82.0,4.747142675712799,okay
milk,BrandB,wholesale,none,offline,6.0,222.64973138076599,1.446376095371029,24.0,6.0,105.71441213668494,32.346190059691516,9.0,4.660510920278561,empty
salt,BrandA,online,summer,offline,1.0,37.0,1.1573671546912114,21.0,6.0,339.3345416500228,38.302363420601935,11.0,2.7085122993081763,empty
cereal,BrandB,online,none,offline,8.0,5.0,1.382480487102637,28.0,7.0,487.0064978388334,11.353239994910611,22.0,4.430501912002453,empty
tea,BrandC,wholesale,summer,offline,9.0,8.0,1.0633079270817267,38.0,5.0,138.55192573228626,0.14179688184647876,199.0,2.725905164226554,empty
bread,BrandA,local_shop,winter,online,5.0,10.0,0.5465503310745675,8.0,5.0,144.58267256868731,,145.0,2.6362118750177608,empty
pasta,LocalBrand,wholesale,summer,offline,7.0,37.0,0.22837404967590125,17.0,21.730578726902642,477.4843684952063,25.37808224715592,81.0,4.5380132912701825,empty
salt,BrandC,local_shop,none,subscription,4.0,26.0,1.397494945948751,9.0,4.0,339.26673069810613,35.97272731973283,181.0,1.1223576855959254,empty
rice,BrandA,supermarket,none,online,6.0,15.0,0.7599476139898647,20.0,1.0,389.64988050095167,36.596955188072606,160.0,4.522858924218943,low
salt,PremiumSelect,wholesale,none,offline,2.0,55.0,0.6249380446025531,5.0,3.0,399.92649863067425,33.22605114502992,20.0,4.338706199293897,empty
milk,BrandB,local_shop,winter,online,4.0,16.0,0.8877984887967286,300.52033602646804,6.0,370.33186995749276,30.49431814267401,87.0,1.8036648523298275,empty
salt,,supermarket,monsoon,subscription,5.0,29.0,0.20451101607505012,29.0,1.0,488.8628453854408,12.167648523618455,28.0,2.6254460759983016,full
rice,BrandB,,winter,offline,9.0,28.0,0.4983455380930017,12.0,6.0,151.87778929062463,3.5096447549548415,57.0,4.405434881278987,low
milk,PremiumSelect,online,summer,online,9.0,10.0,0.9749203552923421,32.0,2.0,268.81732796319267,21.00795775765597,173.0,3.2322580785824924,low
flour,BrandA,supermarket,summer,offline,,56.0,0.1951782722178751,31.0,4.0,,13.410550432330481,21.0,3.913821868211846,empty
eggs,,online,winter,online,4.0,40.0,0.24610200049908165,31.0,3.0,359.4853439556652,5.126800289825857,121.0,1.6246498131169371,low
eggs,BrandC,supermarket,winter,online,6.0,51.0,0.7903524029320305,1.0,2.0,112.23437689189069,,191.0,2.8956191575814967,low
pasta,BrandA,supermarket,summer,subscription,7.0,4.0,0.954012830671582,5.0,5.0,440.24351407430106,21.023166129686587,150.0,3.0444891431851264,empty
coffee,PremiumSelect,local_shop,summer,subscription,1.0,46.0,0.3211524734009965,36.0,6.0,411.0775419010298,30.970264293478863,12.0,1.379489108129369,empty
flour,BrandA,local_shop,summer,offline,1.0,150.94897042763796,0.09797271996046314,12.0,5.0,146.80088954968028,32.32485412796253,38.0,2.299633042085269,empty
flour,BrandB,online,monsoon,offline,4.0,53.0,1.4396319945117964,16.0,5.0,281.1037927591947,18.740761005058143,196.0,3.9359544370363015,empty
cereal,BrandA,wholesale,monsoon,online,3.0,14.0,0.08986435392970742,16.0,1.0,161.46028918056356,36.82943715594835,93.0,1.6801780322512645,full
salt,LocalBrand,local_shop,winter,subscription,4.0,44.0,0.05297546020492974,21.0,2.0,195.6260206650504,31.546487480214317,180.0,3.4856635875364352,full
eggs,BrandA,supermarket,winter,subscription,9.0,33.0,0.5188438248008896,33.0,,276.1132069701657,17.29947129460822,94.0,1.2996924250962931,empty
rice,BrandC,online,monsoon,online,2.0,55.0,0.3725570947245739,26.0,2.0,278.9519436999414,14.010028184150784,,1.3094360078514025,empty
oil,BrandA,online,none,subscription,4.0,51.0,0.8817002250424059,3.0,7.0,275.3882436406429,12.715276945156058,22.0,,empty
oil,BrandB,online,monsoon,subscription,7.0,18.0,1.3466028714195664,23.0,3.0,281.24436858064394,18.54859500484367,33.0,4.970393184356426,empty
milk,BrandA,supermarket,winter,online,2.0,12.0,0.7476061250370062,25.0,4.0,325.34272888358163,13.212206176227909,103.0,2.454409109980372,empty
eggs,LocalBrand,local_shop,monsoon,offline,8.0,10.0,,20.0,4.0,139.9895131650924,18.753102248062863,40.0,3.4628770503151047,empty
eggs,PremiumSelect,wholesale,none,offline,4.0,21.0,1.3683792057944775,36.0,3.0,87.1147519768414,23.090570021810084,31.0,3.4767327673051978,empty
pasta,BrandA,online,winter,offline,9.0,33.0,0.3246294977290008,35.0,2.0,245.73306846249315,6.640725183379685,108.0,1.702574677985047,okay
oil,BrandA,supermarket,summer,online,1.0,14.0,6.481356146896644,33.0,7.0,360.02743894216724,31.915756422579975,68.0,25.454990104351232,empty
eggs,BrandC,local_shop,winter,offline,7.0,9.0,0.9810014994181577,5.0,3.0,264.4482843735524,4.5047242663190135,11.0,3.1109602959578537,empty
pasta,LocalBrand,local_shop,monsoon,online,1.0,26.0,0.5312306949844996,4.0,3.0,321.89235319365275,16.173764354129293,182.0,2.563300256381623,empty
salt,PremiumSelect,wholesale,monsoon,online,9.0,,1.1226405609332166,8.0,5.0,485.9333028844606,6.608807966784309,158.0,8.227258994542673,empty
bread,BrandB,online,none,subscription,1.0,21.0,1.0727067140716462,11.0,3.0,370.4315860532217,12.15714110083676,115.0,3.2492997315428513,empty
cereal,BrandA,supermarket,monsoon,subscription,3.0,22.0,0.6605867120195584,27.0,21.730578726902642,471.13599598171913,18.331474946076867,115.0,4.610175020727759,empty
sugar,PremiumSelect,local_shop,none,offline,7.0,55.0,0.17753294246546908,10.0,7.0,29.12263682451714,29.950114768199224,12.0,3.041330553899137,low
flour,,supermarket,winter,online,1.0,46.0,0.06677473604974044,20.0,6.0,234.63611288674394,25.083478891884774,949.4426852676384,1.4931839145155426,empty
coffee,LocalBrand,local_shop,monsoon,offline,5.0,41.0,0.5855568651332332,32.0,5.0,190.16750859118306,14.429011939527928,150.0,2.1101091963314365,empty
milk,LocalBrand,online,winter,offline,6.0,43.0,0.1689998254205175,27.0,3.0,358.65161123736476,23.63781064827695,176.0,4.9504590321842485,okay
bread,PremiumSelect,online,summer,subscription,3.0,5.0,1.1833554426519783,18.0,6.0,466.1294866321159,11.852897110358684,119.0,2.6053828967728716,empty
cereal,BrandB,wholesale,summer,offline,6.0,44.0,0.5347723857400222,26.0,1.0,39.33543039228189,33.539110144238116,904.4986528289336,4.94042271851959,okay
cereal,LocalBrand,local_shop,none,offline,4.0,16.0,1.0158424998979603,35.0,2.0,47.50634296855368,19.327065927839225,185.0,3.182945299331479,empty
cereal,PremiumSelect,supermarket,monsoon,subscription,6.0,52.0,0.5522495315856646,28.0,3.0,342.96107196577066,28.670330525885387,33.0,3.840580697552303,low
cereal,LocalBrand,local_shop,winter,offline,6.0,35.0,,1.0,4.0,186.10616816158813,12.478129544175381,125.0,1.8820314070655524,empty
oil,LocalBrand,supermarket,winter,offline,4.0,5.0,1.3381981200986828,34.0,3.0,117.45001216171732,27.093656100958036,41.0,4.9490931733079115,empty
pasta,LocalBrand,wholesale,monsoon,online,1.0,26.0,1.264395516430973,26.0,7.0,478.26291019153797,37.07082272528966,20.0,1.0343807574156028,empty
flour,BrandC,local_shop,winter,offline,3.0,26.0,0.7524866677707873,6.0,3.0,26.738680240262322,4.310622675204945,7.0,4.4266011593441785,empty
eggs,BrandB,online,monsoon,subscription,7.0,51.0,0.17172983576123974,25.0,4.0,151.51025773971426,23.624034874206593,27.0,,okay
cereal,PremiumSelect,supermarket,monsoon,subscription,2.0,5.0,0.5889811034004727,17.0,5.0,179.2138500534394,20.03721560830887,60.0,3.636817982103336,empty
coffee,PremiumSelect,,summer,online,4.0,56.0,0.6654611923223699,26.0,5.0,395.73528289294853,21.639182692888195,16.0,2.26113114141419,empty
eggs,BrandB,wholesale,monsoon,subscription,,50.0,1.4423683157424683,21.0,1.0,289.63571432031677,7.784063151614893,37.0,1.7442165421693865,empty
rice,BrandB,wholesale,winter,subscription,5.0,36.0,0.8699710925502887,32.0,,177.6192747628919,1.0839878071662268,167.0,3.4951539267034786,empty
